Freq.	V(output)
1.00000000000000e+000	(1.99990214308100e+001dB,1.79963184127704e+002°)
1.07177346253629e+000	(1.99990211652801e+001dB,1.79960541725876e+002°)
1.14869835499703e+000	(1.99990208602662e+001dB,1.79957709669904e+002°)
1.23114441334492e+000	(1.99990205098975e+001dB,1.79954674347698e+002°)
1.31950791077289e+000	(1.99990201074295e+001dB,1.79951421170188e+002°)
1.41421356237309e+000	(1.99990196451151e+001dB,1.79947934501210e+002°)
1.51571656651040e+000	(1.99990191140554e+001dB,1.79944197582353e+002°)
1.62450479271247e+000	(1.99990185040282e+001dB,1.79940192452416e+002°)
1.74110112659225e+000	(1.99990178032910e+001dB,1.79935899861080e+002°)
1.86606598307361e+000	(1.99990169983554e+001dB,1.79931299176397e+002°)
2.00000000000000e+000	(1.99990160737275e+001dB,1.79926368285622e+002°)
2.14354692507259e+000	(1.99990150116091e+001dB,1.79921083488949e+002°)
2.29739670999407e+000	(1.99990137915557e+001dB,1.79915419385604e+002°)
2.46228882668983e+000	(1.99990123900830e+001dB,1.79909348751776e+002°)
2.63901582154579e+000	(1.99990107802140e+001dB,1.79902842409788e+002°)
2.82842712474619e+000	(1.99990089309609e+001dB,1.79895869087877e+002°)
3.03143313302079e+000	(1.99990068067280e+001dB,1.79888395269916e+002°)
3.24900958542494e+000	(1.99990043666263e+001dB,1.79880385034358e+002°)
3.48220225318449e+000	(1.99990015636873e+001dB,1.79871799881627e+002°)
3.73213196614723e+000	(1.99989983439580e+001dB,1.79862598549119e+002°)
4.00000000000000e+000	(1.99989946454633e+001dB,1.79852736812951e+002°)
4.28709385014517e+000	(1.99989903970123e+001dB,1.79842167275473e+002°)
4.59479341998814e+000	(1.99989855168289e+001dB,1.79830839137565e+002°)
4.92457765337966e+000	(1.99989799109768e+001dB,1.79818697954591e+002°)
5.27803164309157e+000	(1.99989734715528e+001dB,1.79805685374869e+002°)
5.65685424949238e+000	(1.99989660746089e+001dB,1.79791738859398e+002°)
6.06286626604159e+000	(1.99989575777670e+001dB,1.79776791381495e+002°)
6.49801917084988e+000	(1.99989478174793e+001dB,1.79760771104925e+002°)
6.96440450636899e+000	(1.99989366058798e+001dB,1.79743601038972e+002°)
7.46426393229445e+000	(1.99989237271698e+001dB,1.79725198668829e+002°)
7.99999999999999e+000	(1.99989089334638e+001dB,1.79705475559519e+002°)
8.57418770029034e+000	(1.99988919400203e+001dB,1.79684336931502e+002°)
9.18958683997627e+000	(1.99988724197619e+001dB,1.79661681205928e+002°)
9.84915530675932e+000	(1.99988499969813e+001dB,1.79637399517404e+002°)
1.05560632861831e+001	(1.99988242401130e+001dB,1.79611375191962e+002°)
1.13137084989847e+001	(1.99987946534293e+001dB,1.79583483187787e+002°)
1.21257325320832e+001	(1.99987606675032e+001dB,1.79553589496067e+002°)
1.29960383416998e+001	(1.99987216282539e+001dB,1.79521550499183e+002°)
1.39288090127380e+001	(1.99986767843657e+001dB,1.79487212283234e+002°)
1.49285278645889e+001	(1.99986252728365e+001dB,1.79450409901731e+002°)
1.60000000000000e+001	(1.99985661023816e+001dB,1.79410966587068e+002°)
1.71483754005807e+001	(1.99984981343725e+001dB,1.79368692906160e+002°)
1.83791736799525e+001	(1.99984200609448e+001dB,1.79323385856415e+002°)
1.96983106135186e+001	(1.99983303798591e+001dB,1.79274827897998e+002°)
2.11121265723663e+001	(1.99982273656289e+001dB,1.79222785918048e+002°)
2.26274169979695e+001	(1.99981090363676e+001dB,1.79167010122316e+002°)
2.42514650641663e+001	(1.99979731157187e+001dB,1.79107232849428e+002°)
2.59920766833995e+001	(1.99978169891427e+001dB,1.79043167302687e+002°)
2.78576180254759e+001	(1.99976376537281e+001dB,1.78974506194131e+002°)
2.98570557291778e+001	(1.99974316605715e+001dB,1.78900920295330e+002°)
3.20000000000000e+001	(1.99971950486290e+001dB,1.78822056889082e+002°)
3.42967508011613e+001	(1.99969232687884e+001dB,1.78737538116132e+002°)
3.67583473599051e+001	(1.99966110967214e+001dB,1.78646959210707e+002°)
3.93966212270373e+001	(1.99962525328725e+001dB,1.78549886618667e+002°)
4.22242531447326e+001	(1.99958406877013e+001dB,1.78445855991920e+002°)
4.52548339959390e+001	(1.99953676500260e+001dB,1.78334370052908e+002°)
4.85029301283327e+001	(1.99948243360068e+001dB,1.78214896322944e+002°)
5.19841533667990e+001	(1.99942003159604e+001dB,1.78086864708665e+002°)
5.57152360509519e+001	(1.99934836157994e+001dB,1.77949664941178e+002°)
5.97141114583556e+001	(1.99926604894451e+001dB,1.77802643863300e+002°)
6.39999999999999e+001	(1.99917151580535e+001dB,1.77645102561286e+002°)
6.85935016023227e+001	(1.99906295113301e+001dB,1.77476293338762e+002°)
7.35166947198101e+001	(1.99893827655674e+001dB,1.77295416532522e+002°)
7.87932424540745e+001	(1.99879510723331e+001dB,1.77101617172212e+002°)
